"Name","StudentId","EMail","Exercises"
"Mike Mücke","1012","Mike_Mücke@codeclass.de","EA1,EA2,EA3"
"Erik Franzl","1024","Erik_Franzl@codeclass.de","EA1,EA2,EA3"
"Dennis Drop","1023","Dennis_Drop@codeclass.de","EA1,EA2,EA3"
"Frank Lügelick","1005","Frank_Lügelick@codeclass.de","EA1,EA2,EA3"
"Peter Monadjemi","1014","Peter_Monadjemi@codeclass.de","EA1,EA2,EA3"
"Robert Roth","1015","Robert_Ron@codeclass.de","EA1,EA2,EA3"
"Zach Thomas","1021","Zach_Thomas@codeclass.de","EA1,EA2,EA3"
"Susanne Müller","1016","Susanne_Müller@codeclass.de","EA1,EA2,EA3"
"Günther Föhnmeister","1006","Günther_Föhnmeister@codeclass.de","EA1,EA2,EA3"
"Irene Lutz","1008","Irene_Lutz@codeclass.de","EA1,EA2,EA3"
"Bert Burowski","1002","Bert_Burowski@codeclass.de","EA1,EA2,EA3"
"Karl Kronleuchter","1010","Karl_Kronleuchter@codeclass.de","EA1,EA2,EA3"
"Chris Howland","1003","Chris_Howland@codeclass.de","EA1,EA2,EA3"
"Lothar Mathias","1011","Lothar_Mathias@codeclass.de","EA1,EA2,EA3"
"Dieter Hernadez","1004","Dieter_Hernadez@codeclass.de","EA1,EA2,EA3"
"Xavier Schmidt","1020","Xavier_Schmidt@codeclass.de","EA1,EA2,EA3"
"Norbert Nachtmann","1013","Norbert_Nachtmann@codeclass.de","EA1,EA2,EA3"
"Thomas Trotzki","1017","Thomas_Trotzki@codeclass.de","EA1,EA2,EA3"
"Jakob Jakobowski","1009","Jakob_Jakobowski@codeclass.de","EA1,EA2,EA3"
"Arne Schäfers","1001","Arne_Schäfers@codeclass.de","EA1,EA2,EA3"
"Herbert Schilf","1007","Herbert_Schilf@codeclass.de","EA1,EA2,EA3"
"Andrea Borg","1022","Andrea_Borg@codeclass.de","EA1,EA2,EA3"
"Verena Vollkorn","1018","Verena_Vollkorn@codeclass.de","EA1,EA2,EA3"
"Walter Traut","1019","Walter_Traut@codeclass.de","EA1,EA2,EA3"
